SalePrice,Bedrooms,Baths,LotArea,LivingArea,GarageArea,Neighborhood,HouseStyle,YearBuilt,YearSold
236500,2,2,5389,1616,608,StoneBr,1-Story,1995,2010
181000,3,2,10839,1604,470,Gilbert,2-Story,1997,2008
177500,3,2,8923,1382,396,Gilbert,S/Level,1998,2009
185000,3,2,10141,1718,427,Gilbert,2-Story,1998,2009
191000,3,2,7500,1636,440,Gilbert,2-Story,1998,2009
189000,3,2,7500,1804,442,Gilbert,2-Story,1999,2010
175900,3,2,10000,1655,440,Gilbert,2-Story,1993,2010
178000,3,2,7837,1571,380,Gilbert,2-Story,1993,2009
185000,3,2,9765,1470,420,Gilbert,2-Story,1993,2009
188000,3,2,8000,1658,431,Gilbert,2-Story,1995,2008
181316,3,2,8803,1516,409,Gilbert,2-Story,1994,2009
166000,3,2,7250,1190,430,Gilbert,1-Story,1993,2009
178000,3,2,9636,1593,389,Gilbert,2-Story,1992,2009
174000,3,2,8125,1481,343,Gilbert,2-Story,1994,2009
182000,3,2,8125,1481,343,Gilbert,2-Story,1994,2010
194500,3,2,10832,1895,409,Gilbert,2-Story,1994,2008
185000,3,2,14067,1709,416,Gilbert,2-Story,1991,2008
160000,3,2,10784,1472,402,Gilbert,S/Level,1991,2010
173000,3,2,9248,1167,400,Gilbert,1-Story,1992,2009
185000,3,2,7980,1187,420,Gilbert,1-Story,1992,2010
225000,3,2,10762,1983,490,Gilbert,2-Story,1999,2009
180400,3,2,8402,1465,393,Gilbert,2-Story,1998,2010
171500,2,1,10176,1341,506,Gilbert,1-Story,1990,2010
180500,3,2,11851,1442,500,Gilbert,1-Story,1990,2009
212000,1,1,6820,1502,528,StoneBr,1-Story,1985,2010
189000,2,2,4671,1228,472,StoneBr,1-Story,1988,2008
188500,2,2,5950,1337,462,StoneBr,1-Story,1989,2008
355000,5,3,13543,2500,683,StoneBr,2-Story,2005,2008
325000,4,2,11198,2504,656,StoneBr,2-Story,2005,2008
387000,2,2,15401,1884,670,StoneBr,1-Story,2004,2008
538000,4,3,53504,3279,841,StoneBr,2-Story,2003,2010
164000,4,2,12134,1752,492,Gilbert,1.5 Fin,1988,2010
115000,3,1,31220,1474,495,Gilbert,1-Story,1952,2008
334000,2,2,8118,1710,557,StoneBr,1-Story,2007,2008
260000,3,2,16158,1530,430,StoneBr,1-Story,2005,2009
141000,2,1,19138,864,400,Gilbert,1-Story,1951,2010
185000,3,2,11900,1934,567,Gilbert,2-Story,1977,2009
215000,3,2,20544,2093,542,NW Ames,2-Story,1986,2008
226500,2,2,12680,1688,528,NW Ames,1-Story,1988,2008
260000,4,2,13005,2353,484,NW Ames,2-Story,1980,2009
175500,3,2,12090,1422,576,NW Ames,1-Story,1981,2008
181900,3,2,10825,1260,598,NW Ames,1-Story,1983,2008
210000,3,2,13175,2073,500,NW Ames,1-Story,1978,2010
181000,3,2,17043,1586,435,NW Ames,1-Story,1979,2009
235000,3,2,18559,2064,550,NW Ames,1-Story,1978,2008
220000,3,2,14450,1782,551,NW Ames,1-Story,1979,2008
272000,4,2,12227,2872,619,NW Ames,2-Story,1977,2008
213000,4,2,11339,1930,481,NW Ames,2-Story,1979,2010
161000,3,2,13068,1211,461,NW Ames,1-Story,1976,2008
215000,3,2,16635,1602,529,NW Ames,1-Story,1977,2009
203000,4,2,12046,2030,551,NW Ames,2-Story,1976,2010
200000,3,2,10928,1671,484,NW Ames,1-Story,1978,2009
249000,4,2,12388,2673,441,NW Ames,2-Story,1980,2009
187500,3,2,14115,1472,588,NW Ames,S/Level,1980,2009
185000,3,2,10400,2044,489,NW Ames,2-Story,1980,2008
184000,3,2,11088,1707,479,NW Ames,1-Story,1978,2009
278000,4,2,9600,2524,542,NW Ames,1-Story,1981,2009
146900,3,1,9743,1308,484,NW Ames,2-Story,1969,2008
292500,4,2,12511,2840,1314,NW Ames,2-Story,1978,2008
190000,3,2,11751,1844,546,NW Ames,1-Story,1977,2010
159900,2,2,10400,1444,473,NW Ames,1-Story,1976,2008
205000,4,2,10480,1964,483,NW Ames,2-Story,1976,2008
197500,4,2,10304,1868,484,NW Ames,2-Story,1976,2009
240900,3,2,7000,1884,581,Somerst,2-Story,2003,2009
220000,3,2,7500,1874,588,Somerst,2-Story,2000,2009
235000,3,2,8470,1811,565,Somerst,2-Story,2002,2009
216000,3,2,7500,1674,663,Somerst,2-Story,2000,2010
213000,3,2,9373,1621,478,NW Ames,1-Story,1975,2009
167000,3,2,10140,1116,528,NW Ames,1-Story,1974,2008
167900,3,2,10140,1116,528,NW Ames,1-Story,1974,2009
158000,3,2,11050,1193,506,NW Ames,1-Story,1975,2009
165000,3,2,10140,1350,478,NW Ames,1-Story,1974,2009
157000,3,1,10000,1178,439,NW Ames,1-Story,1973,2008
306000,4,2,14311,2340,787,NW Ames,2-Story,1996,2008
133000,4,2,9000,1792,480,N Ames,2-Story,1974,2008
136000,4,2,9000,1792,0,N Ames,2-Story,1974,2009
151000,3,1,9750,1054,460,N Ames,1-Story,1969,2008
103900,3,1,9150,936,410,N Ames,S/Foyer,1968,2010
111900,2,1,10295,936,288,N Ames,1-Story,1969,2008
149000,2,1,11241,1004,480,N Ames,1-Story,1970,2010
146500,3,1,8750,1002,902,N Ames,1-Story,1970,2008
148500,3,1,8750,1002,902,N Ames,1-Story,1970,2009
149900,3,1,12537,1078,500,N Ames,1-Story,1971,2010
142000,3,1,8450,1056,304,N Ames,1-Story,1968,2010
156000,3,1,7930,1026,440,N Ames,1-Story,1969,2009
123000,3,1,7560,864,576,N Ames,1-Story,1971,2008
128000,2,1,7830,1180,477,N Ames,1-Story,1970,2009
143000,3,1,8510,1050,336,N Ames,1-Story,1971,2009
126000,2,1,8400,882,525,N Ames,1-Story,1970,2010
120500,3,1,6960,864,660,N Ames,1-Story,1970,2009
124500,3,1,8120,864,463,N Ames,1-Story,1970,2009
111250,3,1,12735,864,576,N Ames,1-Story,1972,2008
115000,3,1,10500,864,0,N Ames,1-Story,1971,2010
130000,3,1,9000,864,576,N Ames,1-Story,1971,2009
195000,2,2,8773,1419,543,N Ames,1-Story,2002,2010
184000,2,2,5858,1337,511,N Ames,1-Story,1999,2010
107000,3,1,2037,1092,264,Br'Dale,2-Story,1973,2010
103400,2,1,1680,987,264,Br'Dale,2-Story,1973,2008
100000,2,1,1680,987,264,Br'Dale,2-Story,1973,2008
111000,2,1,1680,987,264,Br'Dale,2-Story,1973,2009
100500,2,1,1890,987,352,Br'Dale,2-Story,1972,2008
106000,2,1,1869,987,280,Br'Dale,2-Story,1970,2008
125000,3,1,2368,1365,440,Br'Dale,2-Story,1970,2009
96000,2,1,1680,987,264,Br'Dale,2-Story,1971,2010
105500,3,1,1680,1092,320,Br'Dale,2-Story,1971,2010
89500,2,1,1680,987,264,Br'Dale,2-Story,1971,2008
97000,2,1,1680,987,288,Br'Dale,2-Story,1972,2009
111750,3,2,1680,1302,264,Br'Dale,2-Story,1972,2008
118000,2,1,1680,987,264,Br'Dale,2-Story,1972,2009
92500,3,2,1680,1302,264,Br'Dale,2-Story,1972,2008
119500,3,2,1680,1302,264,Br'Dale,2-Story,1972,2009
126000,3,1,1920,1365,440,Br'Dale,2-Story,1972,2010
143750,2,2,4928,958,440,NPkVill,1-Story,1976,2009
127500,2,2,4043,1069,440,NPkVill,1-Story,1977,2010
146000,3,2,2308,1548,440,NPkVill,2-Story,1976,2009
148500,3,2,2280,1456,440,NPkVill,2-Story,1976,2009
149900,3,2,2280,1456,440,NPkVill,2-Story,1975,2010
123000,2,2,2280,1055,440,NPkVill,1-Story,1975,2009
120000,2,1,2280,836,308,NPkVill,1-Story,1975,2010
143000,4,2,2308,1456,460,NPkVill,2-Story,1975,2008
147000,3,2,2308,1322,440,NPkVill,2-Story,1974,2009
148500,2,2,2529,1055,440,NPkVill,1-Story,1977,2008
137900,3,2,2349,1456,440,NPkVill,2-Story,1977,2009
146000,3,2,2280,1456,440,NPkVill,2-Story,1978,2010
142000,3,2,2187,1548,440,NPkVill,2-Story,1978,2010
147000,3,2,2364,1548,440,NPkVill,2-Story,1978,2009
148500,3,2,2289,1441,440,NPkVill,2-Story,1978,2009
138000,3,2,2364,1456,440,NPkVill,2-Story,1978,2009
128500,2,1,2104,836,345,NPkVill,1-Story,1976,2009
100000,3,1,7150,892,288,N Ames,1-Story,1967,2009
110000,3,1,9477,892,264,N Ames,1-Story,1966,2008
148800,3,1,10710,1120,656,N Ames,1-Story,1966,2009
337500,3,2,12456,1718,786,NridgHt,1-Story,2006,2009
462000,4,3,14257,2772,754,NridgHt,2-Story,2007,2009
489900,2,2,14803,2084,1220,NridgHt,1-Story,2007,2010
555000,2,2,15431,2402,672,NridgHt,1-Story,2008,2009
325000,2,2,13173,1652,840,NridgHt,1-Story,2006,2009
256300,3,2,14230,1600,890,NridgHt,1-Story,2007,2009
335000,3,2,11308,2184,836,NridgHt,2-Story,2008,2009
404000,3,2,12350,2020,896,NridgHt,1-Story,2008,2009
451950,3,2,13478,2296,842,NridgHt,2-Story,2008,2009
610000,2,2,13693,2674,762,NridgHt,1-Story,2007,2009
417500,4,2,13693,2464,650,NridgHt,1-Story,2007,2008
306000,3,2,11478,1704,772,NridgHt,1-Story,2007,2010
360000,3,2,11578,1736,834,NridgHt,1-Story,2008,2009
383000,2,2,14418,1950,706,NridgHt,1-Story,2007,2008
296000,3,2,16870,1782,932,NridgHt,1-Story,2004,2009
297000,3,2,16870,1782,932,NridgHt,1-Story,2004,2008
460000,4,2,12539,2790,1150,NridgHt,2-Story,2005,2008
255500,3,2,11146,1717,908,NridgHt,1-Story,2006,2009
335000,3,2,10367,1743,927,NridgHt,1-Story,2008,2009
275000,3,2,11520,1698,730,NridgHt,1-Story,2005,2010
379000,3,2,12151,2331,1003,NridgHt,2-Story,2005,2008
274900,3,2,9591,1713,856,NridgHt,1-Story,2004,2009
300000,2,2,10872,1531,700,NridgHt,1-Story,2006,2009
324000,3,2,13514,1808,850,NridgHt,1-Story,2008,2009
259000,3,2,14122,1822,678,NridgHt,1-Story,2005,2010
214000,3,2,10171,1535,532,NridgHt,1-Story,2004,2010
250000,4,2,8899,2088,656,NridgHt,2-Story,2007,2008
350000,4,2,8834,2224,738,NridgHt,2-Story,2004,2009
280000,3,2,11362,1836,862,NridgHt,1-Story,2004,2009
284000,3,2,10655,1629,880,NridgHt,1-Story,2003,2009
316000,4,2,10574,2332,756,NridgHt,2-Story,2004,2008
269500,3,2,12878,1760,583,NridgHt,1-Story,2003,2009
615000,1,1,12720,2470,789,NridgHt,1-Story,2003,2008
386250,3,2,13472,2392,968,NridgHt,1-Story,2003,2009
445000,3,2,15274,2452,886,NridgHt,1-Story,2003,2009
412500,3,2,13688,2668,726,NridgHt,2-Story,2003,2008
290000,4,3,13262,2400,730,NridgHt,2-Story,2003,2009
284000,3,2,10625,2046,871,NridgHt,2-Story,2003,2008
255900,3,2,9658,1606,871,NridgHt,1-Story,2006,2009
284000,2,2,10845,1575,732,NridgHt,1-Story,2003,2008
213000,2,2,6904,1358,484,NridgHt,1-Story,2005,2009
196000,1,2,5381,1306,624,NridgHt,1-Story,2005,2009
184500,1,2,5122,1306,624,NridgHt,1-Story,2005,2009
212500,2,2,10307,1358,484,NridgHt,1-Story,2007,2009
230000,2,2,5001,1314,626,NridgHt,1-Story,2007,2009
500000,3,2,14300,2696,958,NridgHt,1-Story,2003,2010
320000,3,2,13650,2250,756,NridgHt,2-Story,2002,2010
382500,3,2,15262,2200,685,NridgHt,1-Story,2003,2009
421250,4,2,16900,2649,746,NridgHt,2-Story,2001,2008
370000,4,2,16451,2690,795,NridgHt,2-Story,2003,2008
319900,2,2,7658,1752,576,NridgHt,1-Story,2005,2010
248500,2,2,6472,1456,539,NridgHt,1-Story,2008,2009
192000,2,2,12304,1367,484,NridgHt,1-Story,2005,2008
205000,2,2,7132,1370,484,NridgHt,1-Story,2006,2010
286500,3,2,16770,1712,701,NridgHt,1-Story,2002,2009
274000,1,1,12677,1518,588,NridgHt,1-Story,2003,2008
266000,2,2,8849,1684,564,NridgHt,1-Story,2005,2008
234250,2,2,6240,1342,550,NridgHt,1-Story,2006,2008
219500,2,2,6240,1342,550,NridgHt,1-Story,2006,2008
254000,2,2,6240,1324,550,NridgHt,1-Story,2006,2009
173000,2,2,3480,1405,478,NridgHt,1-Story,2003,2009
173000,2,2,2268,1626,474,NridgHt,2-Story,2003,2009
155000,2,2,2448,1626,474,NridgHt,2-Story,2003,2008
174000,2,2,2628,1626,474,NridgHt,2-Story,2003,2008
175500,2,2,2628,1626,474,NridgHt,2-Story,2003,2010
154000,2,2,2448,1626,474,NridgHt,2-Story,2003,2008
207000,2,2,8198,1358,484,NridgHt,1-Story,2004,2008
162500,3,2,10237,1324,430,Gilbert,1-Story,2005,2010
184000,3,2,10928,1456,390,Gilbert,2-Story,2005,2009
199500,3,2,18494,1324,430,Gilbert,1-Story,2005,2010
167800,3,2,8918,1490,392,Gilbert,2-Story,2005,2009
174000,3,2,12589,1484,390,Gilbert,2-Story,2005,2009
174000,3,2,11911,1560,400,Gilbert,2-Story,2005,2009
160000,2,2,3203,1145,437,Blmngtn,1-Story,2006,2010
174000,2,2,3684,1555,660,Blmngtn,1-Story,2007,2009
175900,1,2,3635,1569,660,Blmngtn,1-Story,2007,2009
195000,2,2,3940,1455,644,Blmngtn,1-Story,2003,2008
219990,2,2,3940,1576,668,Blmngtn,1-Story,2004,2008
192500,2,2,3182,1555,430,Blmngtn,1-Story,2005,2009
192000,2,2,3182,1269,430,Blmngtn,1-Story,2004,2010
191000,2,2,3182,1504,437,Blmngtn,1-Story,2005,2008
181000,1,2,3182,1504,457,Blmngtn,1-Story,2005,2009
180000,2,2,3182,1220,397,Blmngtn,1-Story,2005,2009
160200,2,2,3182,1145,397,Blmngtn,1-Story,2005,2009
159895,2,2,3182,1266,388,Blmngtn,1-Story,2007,2008
182000,3,2,13300,1374,400,Gilbert,S/Level,2004,2008
184500,3,2,13300,1374,400,Gilbert,S/Level,2004,2010
188500,3,2,7795,1432,432,Gilbert,2-Story,2004,2009
179000,3,2,9024,1515,393,Gilbert,2-Story,2004,2008
210000,4,2,8068,2267,390,Gilbert,2-Story,2002,2008
200000,4,2,8068,2267,390,Gilbert,2-Story,2002,2009
193000,3,2,7415,1593,398,Gilbert,2-Story,2004,2008
189000,3,2,9056,1313,400,Gilbert,2-Story,2004,2010
190000,2,2,9587,1166,400,Gilbert,S/Level,2005,2008
170000,3,2,9434,1374,400,Gilbert,S/Level,2004,2009
191000,3,2,7984,1630,436,Gilbert,2-Story,2004,2008
189500,3,2,7984,1630,436,Gilbert,2-Story,2004,2009
176000,3,2,8029,1456,400,Gilbert,2-Story,2005,2008
188000,3,2,8010,1720,400,Gilbert,2-Story,2002,2008
184100,3,2,7750,1419,527,Gilbert,S/Level,2002,2009
212000,4,2,7851,1960,440,Gilbert,2-Story,2002,2008
216500,4,2,7851,1960,440,Gilbert,2-Story,2002,2010
185088,3,2,8577,1733,433,Gilbert,2-Story,2004,2010
195500,3,2,10125,1594,434,Gilbert,2-Story,2004,2009
192000,3,2,8965,1489,400,Gilbert,2-Story,2003,2009
213000,4,2,8396,1986,434,Gilbert,2-Story,2003,2008
178000,3,2,8174,1342,393,Gilbert,2-Story,2003,2009
174000,3,2,7750,1430,400,Gilbert,S/Level,2000,2009
180000,3,2,7750,1430,400,Gilbert,S/Level,2000,2010
207500,2,2,5063,1314,626,NridgHt,1-Story,2007,2009
236000,4,2,8795,2256,554,Gilbert,2-Story,2000,2009
257500,4,2,12891,2004,644,Gilbert,2-Story,2002,2009
186500,3,2,10261,1792,451,Gilbert,2-Story,2000,2008
226750,3,2,8220,1892,431,Gilbert,2-Story,2000,2008
244000,3,2,12224,2054,390,Gilbert,2-Story,2000,2009
184000,3,2,15384,1490,388,Gilbert,2-Story,2004,2008
167000,3,2,9734,1374,400,Gilbert,S/Level,2004,2009
176000,3,2,7750,1414,403,Gilbert,2-Story,2002,2008
179000,3,2,8123,1800,463,Gilbert,2-Story,2000,2009
190000,3,2,8433,1514,394,Gilbert,2-Story,2000,2009
156000,3,2,7750,1430,400,Gilbert,S/Level,1999,2009
151000,3,2,7750,1430,400,Gilbert,S/Level,1999,2010
222500,3,2,9505,2035,434,Gilbert,2-Story,2001,2010
245000,4,2,15896,2312,658,Gilbert,2-Story,1999,2009
181000,3,2,24682,1675,502,Gilbert,2-Story,1999,2009
225000,4,2,12460,2322,400,Gilbert,2-Story,1999,2008
210900,3,2,8755,2060,390,Gilbert,2-Story,1999,2008
214000,3,2,8755,2060,390,Gilbert,2-Story,1999,2009
168000,3,2,7848,1430,410,Gilbert,S/Level,1999,2009
185900,3,2,8390,1651,450,Gilbert,2-Story,1999,2008
284500,3,2,9660,2199,516,NoRidge,2.5 Unf,1997,2008
337000,3,2,9430,2365,856,NoRidge,2-Story,1999,2009
315000,4,2,9200,2630,696,NoRidge,2-Story,1998,2008
403000,4,2,15138,2794,810,NoRidge,2-Story,1995,2009
250000,4,2,14260,2198,836,NoRidge,2-Story,2000,2008
291000,4,2,11000,2172,687,NoRidge,2-Story,2000,2008
327000,4,2,12720,2687,810,NoRidge,2-Story,2000,2009
333168,4,2,14774,2599,779,NoRidge,2-Story,1999,2010
340000,3,2,16545,2450,1069,NoRidge,2-Story,1998,2009
355000,4,2,17433,2475,962,NoRidge,2-Story,1998,2010
336000,4,2,12203,2612,676,NoRidge,2-Story,1998,2009
350000,2,2,11675,2006,938,NoRidge,1-Story,1998,2008
265000,3,2,10208,2344,889,NoRidge,2-Story,1996,2009
279500,4,2,10990,2125,576,NoRidge,2-Story,1996,2008
260400,3,2,10593,1720,527,NoRidge,1-Story,1996,2010
270000,3,2,10593,1720,527,NoRidge,1-Story,1996,2010
290000,4,2,11929,2501,751,NoRidge,2-Story,1995,2008
315000,3,2,10750,2063,815,NoRidge,1-Story,1994,2009
350000,2,2,10437,2113,839,NoRidge,1-Story,1995,2008
325000,3,2,12256,2622,712,NoRidge,2-Story,1994,2010
341000,3,2,10542,2418,983,NoRidge,2-Story,1993,2008
260000,4,2,9900,2646,656,NoRidge,2-Story,1993,2009
287500,4,2,10010,2197,783,NoRidge,2-Story,1993,2008
290000,4,2,11764,2270,671,NoRidge,2-Story,1999,2010
221000,4,2,16770,1839,486,NoRidge,2-Story,1998,2010
260000,3,2,9085,2061,647,NoRidge,2-Story,1995,2009
410000,4,2,14720,3238,666,NoRidge,1.5 Fin,1995,2010
263550,3,2,11692,2232,623,NoRidge,2-Story,1993,2009
271000,3,2,10944,2127,525,NoRidge,2-Story,1994,2008
301500,2,2,14303,1987,691,NoRidge,1-Story,1994,2008
402000,4,2,46589,2448,711,NoRidge,2-Story,1994,2009
248000,3,2,29959,1850,467,NoRidge,2-Story,1994,2009
214000,4,2,14598,1933,668,Somerst,2-Story,2007,2008
232000,3,2,11957,1574,824,Somerst,1-Story,2006,2008
240000,3,2,13253,1578,642,Somerst,1-Story,2006,2008
275000,3,2,11194,1696,972,Somerst,1-Story,2008,2009
245000,3,2,10206,1563,758,Somerst,1-Story,2007,2008
257500,3,2,10206,1658,726,Somerst,1-Story,2008,2009
257000,3,3,9801,1861,851,Somerst,2-Story,2007,2008
275500,3,2,10130,1702,844,Somerst,1-Story,2007,2009
247000,3,2,10037,1460,480,Somerst,1-Story,2006,2008
245000,3,2,9139,1432,492,Somerst,1-Story,2006,2009
253000,3,2,9675,1971,689,Somerst,2-Story,2005,2009
468000,2,2,11128,2490,795,Somerst,1-Story,2005,2009
221500,2,2,8987,1595,880,Somerst,1-Story,2005,2010
210000,3,2,9000,1590,676,Somerst,2-Story,2008,2009
229800,3,2,8640,1402,625,Somerst,1-Story,2008,2009
215200,3,2,8640,1547,614,Somerst,2-Story,2009,2010
235000,3,2,8640,1798,590,Somerst,2-Story,2007,2010
262500,3,2,9000,1566,750,Somerst,1-Story,2008,2010
247500,3,2,9000,1959,1025,Somerst,2-Story,2006,2010
250000,3,2,12606,1530,984,Somerst,1-Story,2007,2009
238500,2,2,7500,1448,692,Somerst,1-Story,2006,2009
226700,3,2,9803,1768,603,Somerst,2-Story,2005,2008
310000,3,2,11003,2007,812,Somerst,1-Story,2008,2009
270000,3,2,10603,1795,782,Somerst,2-Story,2006,2009
254900,3,2,12552,1947,678,Somerst,2-Story,2004,2010
250000,3,2,9375,1992,648,Somerst,2-Story,2003,2008
250000,3,2,10625,1958,936,Somerst,2-Story,2005,2008
263000,3,2,12341,1732,576,Somerst,2-Story,2006,2010
260000,3,2,9231,1522,590,Somerst,1-Story,2005,2010
252000,3,2,10574,1953,1043,Somerst,2-Story,2005,2009
271500,2,2,10440,1468,528,Somerst,1-Story,2005,2010
241000,2,2,8125,1550,438,Somerst,2-Story,2006,2009
205950,3,2,8125,1665,562,Somerst,2-Story,2007,2008
256000,3,2,10625,1660,660,Somerst,1-Story,2007,2008
291000,3,2,10625,1662,711,Somerst,1-Story,2006,2009
263000,4,2,9375,2094,615,Somerst,2-Story,2003,2009
182000,2,2,7500,1221,400,Somerst,1-Story,2004,2009
185000,2,2,7500,1221,400,Somerst,1-Story,2004,2009
234500,3,2,8736,1553,588,Somerst,1-Story,2003,2009
209000,3,2,8127,1653,628,Somerst,2-Story,2003,2009
207500,3,2,8791,1728,673,Somerst,2-Story,2003,2008
122500,2,2,2792,988,264,IOCondo,1-Story,2004,2009
135000,2,2,3217,1133,264,IOCondo,1-Story,2004,2010
126000,2,2,3217,1133,264,IOCondo,1-Story,2004,2008
122000,2,2,3157,1111,264,IOCondo,1-Story,2004,2010
110000,2,2,2792,988,264,IOCondo,1-Story,2004,2009
107000,2,2,3596,988,264,IOCondo,1-Story,2004,2009
121000,2,2,4065,1111,264,IOCondo,1-Story,2004,2009
159000,3,1,9605,1218,576,SawyerW,1-Story,2007,2009
152000,3,1,7500,1141,484,SawyerW,1-Story,2006,2009
143500,3,1,7500,1158,0,SawyerW,1-Story,2004,2009
141000,3,1,7500,1080,0,SawyerW,1-Story,2004,2008
233000,4,2,10142,2084,618,SawyerW,2-Story,2004,2010
193000,3,2,10628,1812,478,SawyerW,2-Story,2004,2009
203000,3,2,10141,1512,845,SawyerW,1-Story,2004,2009
181000,3,2,11920,1659,484,SawyerW,2-Story,2004,2010
184900,2,2,10083,1200,555,SawyerW,1-Story,2003,2009
188000,3,2,10110,1696,542,SawyerW,2-Story,2003,2008
192500,3,2,12774,1663,478,SawyerW,2-Story,2003,2008
159000,3,1,13072,1114,576,SawyerW,1-Story,2004,2009
146000,3,1,13072,1175,0,SawyerW,1-Story,2005,2008
141500,3,1,13072,1114,720,SawyerW,1-Story,2004,2010
142000,3,1,13072,1114,0,SawyerW,1-Story,2004,2009
159000,3,1,13695,1114,576,SawyerW,1-Story,2004,2008
155000,3,1,13695,1114,576,SawyerW,1-Story,2003,2008
153000,3,2,12450,1114,576,SawyerW,1-Story,2003,2009
173000,3,2,8366,1640,520,SawyerW,2-Story,2004,2008
170000,3,2,9260,1162,483,SawyerW,1-Story,2007,2008
220000,4,2,11492,2122,559,SawyerW,2-Story,1996,2009
205000,3,2,8880,2110,463,SawyerW,2-Story,1994,2010
182000,3,2,8453,1609,525,SawyerW,2-Story,1995,2008
163000,3,2,8480,1680,474,SawyerW,2-Story,1993,2008
193500,3,2,8125,1679,575,SawyerW,1-Story,1994,2008
189000,3,2,14565,1657,483,SawyerW,2-Story,1994,2008
189000,3,2,8529,1434,527,SawyerW,1-Story,2001,2009
190500,3,2,8450,1677,627,SawyerW,2-Story,2001,2008
197500,3,2,13026,1617,464,SawyerW,2-Story,1993,2010
175000,3,2,8285,1737,506,SawyerW,2-Story,1992,2008
176000,3,2,7153,1603,484,SawyerW,2-Story,1992,2010
179200,3,2,7153,1294,496,SawyerW,1-Story,1991,2008
171500,3,2,7703,1730,528,SawyerW,2-Story,1992,2009
187000,3,2,9291,1710,506,SawyerW,2-Story,1993,2008
193000,2,2,8012,1617,533,SawyerW,1-Story,1993,2008
143000,2,2,8012,923,264,SawyerW,1-Story,1980,2010
189000,3,2,11218,1845,462,SawyerW,2-Story,1992,2010
120000,3,1,10762,1217,288,SawyerW,2-Story,1980,2009
99500,2,2,7892,918,264,SawyerW,1-Story,1979,2010
125000,2,1,7175,752,264,SawyerW,1-Story,1984,2010
145000,2,2,7175,1332,542,SawyerW,1-Story,1990,2009
153900,2,2,7892,1199,530,SawyerW,1-Story,1993,2008
194500,3,2,9453,1744,457,SawyerW,2-Story,1993,2010
184000,3,2,9109,1540,495,SawyerW,2-Story,1994,2009
152000,3,2,9672,1097,480,SawyerW,1-Story,1984,2010
