"","obs","totbill","tip","sex","smoker","day","time","size"
"225",225,13.42,1.58,"M","Yes","Fri","Day",2
"226",226,16.27,2.5,"F","Yes","Fri","Day",2
"227",227,10.09,2,"F","Yes","Fri","Day",2
"228",228,20.45,3,"M","No","Sat","Night",4
"229",229,13.28,2.72,"M","No","Sat","Night",2
"230",230,22.12,2.88,"F","Yes","Sat","Night",2
"231",231,24.01,2,"M","Yes","Sat","Night",4
"232",232,15.69,3,"M","Yes","Sat","Night",3
"233",233,11.61,3.39,"M","No","Sat","Night",2
"234",234,10.77,1.47,"M","No","Sat","Night",2
"235",235,15.53,3,"M","Yes","Sat","Night",2
"236",236,10.07,1.25,"M","No","Sat","Night",2
"237",237,12.6,1,"M","Yes","Sat","Night",2
"238",238,32.83,1.17,"M","Yes","Sat","Night",2
"239",239,35.83,4.67,"F","No","Sat","Night",3
"240",240,29.03,5.92,"M","No","Sat","Night",3
"241",241,27.18,2,"F","Yes","Sat","Night",2
"242",242,22.67,2,"M","Yes","Sat","Night",2
"243",243,17.82,1.75,"M","No","Sat","Night",2
"244",244,18.78,3,"F","No","Thu","Night",2
