"carat","cut","color","clarity","depth","table","price","x","y","z"
0.8,"Premium","F","VS2",61.6,58,3429,5.98,6.03,3.7
1.01,"Premium","G","VS2",62,59,6108,6.41,6.36,3.96
1.01,"Very Good","G","IF",63,60,7974,6.31,6.35,3.99
0.6,"Premium","D","SI1",62.9,58,1799,5.39,5.33,3.37
0.55,"Premium","G","VS2",59.6,59,1556,5.36,5.32,3.18
1.2,"Ideal","I","VS2",61.1,58,6303,6.83,6.86,4.18
0.31,"Ideal","F","VS2",62.6,55,625,4.29,4.33,2.7
1.05,"Very Good","E","SI1",60.7,56,5770,6.54,6.6,3.99
1.01,"Ideal","E","SI2",61.2,54,4751,6.52,6.49,3.98
0.6,"Good","E","VS1",58.1,63,2065,5.53,5.63,3.24
0.79,"Premium","G","SI1",61.2,56,3539,6,5.96,3.66
1.2,"Premium","H","VS1",61.3,58,6626,6.85,6.81,4.19
0.52,"Ideal","G","VVS2",62.3,55,1911,5.12,5.16,3.2
0.31,"Good","D","SI1",63.3,59,502,4.24,4.29,2.7
1.29,"Premium","G","VS2",58.7,58,8842,7.27,7.11,4.22
0.3,"Ideal","F","VS2",62.1,57,568,4.27,4.3,2.66
0.43,"Ideal","F","VVS2",61.8,57,1169,4.83,4.85,2.99
0.35,"Premium","H","VVS2",62.7,58,906,4.5,4.46,2.81
1.05,"Very Good","G","SI1",60.2,58,5438,6.57,6.61,3.97
1.07,"Ideal","H","SI2",59.2,57,4314,6.7,6.64,3.95
1.07,"Premium","H","SI1",60,60,5031,6.61,6.65,3.98
0.53,"Ideal","F","VS1",61.5,56,1856,5.26,5.22,3.22
0.5,"Very Good","F","VS2",62.7,56,1396,5.04,5.07,3.17
1.07,"Ideal","D","VVS2",61.3,58,10266,6.55,6.64,4.04
1.73,"Premium","F","SI2",61.5,60,9494,7.75,7.66,4.74
0.5,"Premium","G","SI1",63,56,1138,5.07,5.02,3.18
0.57,"Ideal","E","VS1",61.4,57,1965,5.32,5.37,3.28
1.02,"Premium","G","I1",60.3,58,2815,6.55,6.5,3.94
1.36,"Ideal","D","VS2",62.1,55,11793,7.18,7.13,4.44
0.9,"Very Good","E","SI2",61.6,59,3924,6.18,6.26,3.83
0.5,"Good","E","SI1",62.5,59,1293,5.04,5.07,3.16
0.38,"Premium","G","VS2",59.3,59,766,4.71,4.74,2.8
1.21,"Very Good","H","SI1",60.2,58,6229,6.89,6.93,4.16
0.59,"Ideal","F","SI2",61.8,55,1265,5.41,5.44,3.35
0.35,"Ideal","G","SI1",61.8,55,503,4.54,4.56,2.81
1.59,"Very Good","I","VS1",61.2,57.8,11018,7.5,7.52,4.6
0.54,"Ideal","E","VS2",61.9,57,1754,5.2,5.23,3.23
0.43,"Ideal","E","SI2",61.9,57,919,4.86,4.83,3
1.05,"Very Good","F","VS2",62,56,6545,6.48,6.52,4.03
1.58,"Premium","H","VS1",61.7,59,11491,7.48,7.42,4.6
1.01,"Good","E","SI2",63.2,59,4479,6.34,6.38,4.02
0.31,"Ideal","G","IF",61.8,55,891,4.35,4.39,2.7
1.5,"Ideal","G","VS1",62.3,57,14067,7.25,7.32,4.54
1,"Premium","F","VS2",61.9,59,6521,6.36,6.41,3.95
1.01,"Good","D","VS2",62.5,62,6563,6.26,6.34,3.94
0.52,"Fair","J","VS2",65.3,56,1030,5.05,5,3.28
0.37,"Ideal","D","VVS2",62.4,56,857,4.56,4.64,2.87
0.31,"Premium","H","VVS1",62.1,58,907,4.36,4.33,2.7
0.41,"Premium","G","VS1",58.9,60,1076,4.87,4.84,2.86
0.23,"Good","E","VVS1",64.4,57,472,3.87,3.9,2.5
1.51,"Premium","I","SI2",62.7,55,7766,7.37,7.28,4.59
0.41,"Ideal","E","VVS1",60.9,55,1431,4.83,4.8,2.93
0.46,"Ideal","F","SI2",61.5,54,758,4.98,5.01,3.07
1.04,"Ideal","G","VS2",62,59,6286,6.43,6.5,4.01
0.58,"Ideal","E","SI2",61.4,57.1,1392,5.36,5.38,3.3
2.02,"Premium","E","SI2",58.2,60,17938,8.32,8.25,4.82
1.6,"Very Good","E","SI2",62.5,54,11537,7.5,7.55,4.7
0.44,"Ideal","H","SI1",61.9,57,733,4.9,4.92,3.04
0.33,"Very Good","F","VVS2",61.6,57,801,4.44,4.46,2.74
0.31,"Ideal","H","IF",60.8,57,761,4.38,4.4,2.67
1.51,"Fair","G","I1",65.6,54,4167,7.28,7.1,4.72
1.11,"Ideal","E","SI1",61.1,57,6800,6.64,6.72,4.08
0.44,"Premium","E","SI2",59.7,61,1028,4.97,4.91,2.95
0.32,"Good","E","SI1",63.1,56,524,4.34,4.37,2.75
0.3,"Very Good","I","VS1",61.8,63,567,4.29,4.26,2.64
0.35,"Ideal","F","VVS1",61.8,54,945,4.53,4.56,2.81
0.4,"Ideal","D","VS2",60.4,56,982,4.73,4.77,2.87
0.51,"Premium","G","VS2",62.4,58,1546,5.12,5.11,3.19
0.73,"Ideal","E","SI1",61.9,57,2581,5.74,5.79,3.57
1.01,"Good","G","VS1",63.8,57,6882,6.38,6.35,4.06
0.44,"Good","E","SI1",63.4,57,756,4.81,4.85,3.06
0.56,"Ideal","F","VS2",61.8,55,1950,5.3,5.34,3.29
0.55,"Very Good","E","VS2",61.2,57,1725,5.22,5.27,3.21
1.04,"Very Good","F","VS2",59,57,6405,6.64,6.69,3.93
0.5,"Ideal","D","SI2",61.6,57,1239,5.1,5.13,3.15
1,"Ideal","I","VS2",62.4,52,4841,6.41,6.45,4.02
0.57,"Very Good","H","VVS1",59.6,58,1914,5.4,5.43,3.23
0.74,"Ideal","E","SI1",62.3,58,2872,5.74,5.78,3.59
2.07,"Ideal","J","VVS2",62.7,54,16769,8.17,8.12,5.11
0.9,"Premium","F","SI2",62,61,3704,6.16,6.14,3.81
0.23,"Good","F","VS2",63.8,57,447,3.93,3.84,2.48
0.59,"Very Good","D","VS1",62.6,58,2254,5.34,5.39,3.36
1.2,"Ideal","E","SI1",62.3,55,7074,6.78,6.84,4.24
1.2,"Very Good","G","VS2",63.1,57,7371,6.69,6.74,4.24
2,"Premium","G","SI2",60.7,60,10833,8.13,8.07,4.92
1.8,"Premium","I","SI1",61.9,60,11948,7.78,7.74,4.8
0.4,"Ideal","D","VS2",62.3,57,1050,4.75,4.72,2.95
0.33,"Premium","F","SI2",62.3,58,557,4.43,4.4,2.75
0.9,"Very Good","I","VVS1",63.4,57,3872,6.09,6.12,3.87
0.42,"Ideal","G","VVS1",61.2,56,1235,4.86,4.85,2.97
1.21,"Ideal","D","VS1",61,57,10335,6.88,6.85,4.19
0.7,"Good","E","SI2",57.8,61,2310,5.88,5.82,3.38
0.9,"Very Good","H","SI2",61.5,59,3208,6.15,6.2,3.8
0.9,"Good","F","SI2",61.9,59,4013,6.09,6.12,3.78
0.71,"Fair","G","SI2",65.6,61,1994,5.46,5.37,3.55
0.73,"Premium","D","VS2",59.8,58,3250,5.89,5.85,3.51
1.74,"Ideal","G","VS2",61.7,56,16316,7.72,7.68,4.75
0.59,"Ideal","G","VVS2",62.2,56,2070,5.4,5.37,3.35
0.78,"Very Good","H","SI2",62.9,55,2125,5.83,5.87,3.68
1.04,"Good","G","VS2",61.4,65,5601,6.53,6.47,3.99
0.33,"Very Good","G","VS2",59.3,61,579,4.49,4.51,2.67
0.9,"Fair","D","SI2",66.9,57,2885,6.02,5.9,3.99
0.4,"Ideal","F","VVS1",62.5,57,1323,4.75,4.72,2.96
0.55,"Ideal","F","SI2",62.3,57,1175,5.22,5.27,3.27
0.53,"Very Good","J","VS2",62.4,58,1124,5.15,5.24,3.24
0.91,"Very Good","G","SI2",63.3,57,3282,6.12,6.08,3.86
1.01,"Ideal","G","VVS2",62.2,54,8252,6.48,6.41,4.01
1,"Very Good","E","VVS1",62.7,54,10463,6.36,6.39,4
0.32,"Ideal","I","SI1",62.4,57,432,4.35,4.37,2.72
0.33,"Ideal","G","VVS1",60.9,57,838,4.49,4.51,2.74
0.53,"Ideal","F","VVS2",60.8,56,2160,5.22,5.24,3.18
1.5,"Ideal","J","VVS1",62.2,59,9814,7.3,7.32,4.55
0.52,"Premium","G","VS1",62.6,59,1689,5.08,5.11,3.19
0.4,"Ideal","D","VS1",60.6,56,1003,4.78,4.82,2.91
0.34,"Ideal","E","VVS1",62,56,1084,4.52,4.48,2.79
0.35,"Premium","E","VS2",59.2,58,984,4.63,4.59,2.73
1.64,"Ideal","F","SI1",61.8,55,13289,7.6,7.58,4.69
1.21,"Ideal","D","VVS2",62.8,55,12657,6.77,6.84,4.26
1.05,"Good","H","VS2",63.7,58,5492,6.4,6.45,4.09
0.32,"Premium","E","SI2",62.4,58,576,4.4,4.35,2.73
0.3,"Good","F","VS2",63.4,59,565,4.23,4.25,2.69
0.71,"Ideal","E","VS2",62.2,56,3103,5.7,5.75,3.56
0.74,"Ideal","D","SI2",61.7,55,2810,5.81,5.85,3.6
0.5,"Premium","G","SI2",62.5,57,1000,5.04,5.01,3.14
0.55,"Ideal","E","VS2",59.8,57,1715,5.34,5.3,3.18
0.4,"Premium","H","VS1",62.4,60,1035,4.74,4.69,2.94
1.35,"Fair","I","SI2",66.5,57,4423,6.79,6.74,4.5
1.2,"Fair","G","I1",64.4,55,2655,6.77,6.61,4.31
1.03,"Ideal","F","SI1",62.8,56,5356,6.38,6.46,4.03
1.1,"Good","F","SI2",60.5,61,4674,6.61,6.67,4.02
0.55,"Premium","H","VS2",62.1,58,1363,5.24,5.29,3.27
1.01,"Ideal","G","VVS2",62.2,56,8034,6.41,6.46,4
0.35,"Ideal","G","VS2",62.5,53,615,4.53,4.56,2.84
0.32,"Ideal","D","SI1",60.8,57,756,4.44,4.41,2.69
0.42,"Ideal","H","VS1",62.4,57,847,4.76,4.79,2.98
1.5,"Very Good","E","SI2",63.5,59,9450,7.28,7.25,4.61
2.02,"Ideal","I","SI2",61.7,57,13229,8.12,8.05,4.99
0.54,"Ideal","E","VS2",61.8,55,1684,5.26,5.22,3.24
0.72,"Very Good","H","SI1",63.7,57,2168,5.66,5.7,3.62
0.8,"Ideal","H","VS1",62.2,56,3581,5.92,5.95,3.69
0.32,"Ideal","H","VS1",61.3,55,720,4.43,4.41,2.71
0.3,"Very Good","D","SI1",63.3,59,709,4.25,4.22,2.68
1.7,"Premium","G","SI2",62,57,11043,7.72,7.63,4.76
0.4,"Ideal","J","VVS2",61.9,55,662,4.74,4.79,2.95
0.34,"Ideal","H","VVS2",63,55,880,4.48,4.44,2.81
1.01,"Premium","G","VS1",60.7,58,7059,6.52,6.49,3.95
1.22,"Very Good","H","SI1",63.5,55,6387,6.78,6.73,4.29
0.53,"Ideal","D","VS2",61,56,1659,5.26,5.29,3.22
0.39,"Very Good","I","VS2",60.1,57,679,4.74,4.77,2.86
0.73,"Very Good","E","VS2",61.5,58,3307,5.71,5.8,3.54
1.5,"Good","E","SI2",63.9,58,8910,7.21,7.26,4.62
0.52,"Premium","G","VVS2",61.1,59,2012,5.2,5.15,3.16
2.03,"Very Good","I","SI2",62.2,54,14239,8.11,8.15,5.06
0.54,"Ideal","E","VS2",60.5,56,1847,5.28,5.26,3.19
1.7,"Good","I","VS1",58,60,11921,7.84,7.88,4.56
0.9,"Very Good","I","VS2",62.1,61,3535,6.08,6.12,3.79
0.71,"Premium","F","VS1",61.1,58,2942,5.76,5.72,3.51
1.24,"Ideal","J","SI1",61.8,57,5000,6.92,6.86,4.26
0.5,"Premium","H","SI1",60.2,61,1141,5.16,5.14,3.1
0.93,"Good","I","VS2",58.2,60,3946,6.41,6.48,3.75
0.53,"Very Good","E","VVS2",63.1,60,2043,5.12,5.08,3.22
1.03,"Ideal","J","SI1",61.9,56,3921,6.45,6.5,4.01
0.53,"Ideal","I","IF",62.1,55,1654,5.18,5.22,3.23
0.71,"Very Good","E","VS2",58.5,57,2630,5.87,5.9,3.44
2.01,"Premium","H","SI2",61.9,59,11646,8.13,7.97,4.98
0.43,"Ideal","F","VVS2",61.4,56,1093,4.87,4.9,3
0.31,"Premium","H","VVS2",61.4,59,802,4.38,4.35,2.68
1.01,"Good","E","SI1",63.4,60,5132,6.3,6.34,4.01
0.5,"Premium","G","VS1",59.8,58,1746,5.19,5.15,3.09
0.35,"Ideal","G","IF",62.3,55,1044,4.5,4.52,2.81
0.31,"Premium","F","VS2",61.4,62,802,4.34,4.32,2.66
2.27,"Ideal","G","SI1",61.1,60,18343,8.46,8.42,5.16
0.4,"Ideal","J","VS1",61.5,58,633,4.73,4.76,2.92
0.4,"Premium","E","SI2",60.5,59,640,4.74,4.78,2.88
0.9,"Good","H","VS2",64,57,3601,6.11,6.14,3.92
1.01,"Premium","J","VS1",63,55,3790,6.39,6.34,4.01
0.36,"Ideal","F","VVS2",61.4,56,1059,4.61,4.64,2.84
0.47,"Good","E","VS2",58.4,60.3,1294,5.08,5.17,3
1.02,"Very Good","F","SI1",60.9,57,5287,6.52,6.56,3.98
0.55,"Ideal","H","IF",61.9,56,2120,5.26,5.34,3.26
0.31,"Ideal","H","VVS1",60.8,55,942,4.42,4.39,2.68
0.74,"Very Good","D","SI1",61.5,59,3138,5.76,5.82,3.56
0.56,"Ideal","I","VS2",62.2,57,1417,5.27,5.28,3.28
1.32,"Ideal","G","SI2",62.9,57,6409,6.98,6.94,4.38
0.76,"Ideal","G","SI2",62.1,59,2389,5.81,5.84,3.62
0.52,"Ideal","E","SI1",60.7,55,1656,5.23,5.22,3.18
1.3,"Ideal","H","VVS1",62.8,55.2,9232,6.94,6.97,4.36
0.95,"Ideal","J","VVS2",60.6,57,3558,6.4,6.34,3.86
1,"Ideal","G","VS1",62.7,54,6349,6.37,6.42,4.01
1.13,"Very Good","F","SI1",61,58,5017,6.69,6.75,4.1
0.57,"Very Good","E","SI2",58.8,57.3,1384,5.42,5.46,3.21
1,"Good","E","SI2",61.5,61,4258,6.35,6.43,3.93
1.02,"Ideal","I","VS2",60.8,57,4281,6.42,6.5,3.93
0.34,"Premium","G","VS2",60.2,58,765,4.56,4.51,2.73
1.02,"Premium","E","VVS1",61.5,59,11163,6.46,6.41,3.96
1.57,"Very Good","H","VS2",63.4,56,9407,7.46,7.4,4.71
0.4,"Ideal","E","VVS1",61.3,56,1778,4.75,4.78,2.92
0.4,"Premium","E","SI1",60.1,59,945,4.82,4.76,2.88
1.03,"Ideal","E","SI1",62,53,5710,6.5,6.47,4.02
0.7,"Good","H","SI1",60.2,64,2176,5.72,5.65,3.42
1.26,"Ideal","F","VS2",61.4,57,9236,7.02,6.96,4.29
0.3,"Ideal","F","IF",61.3,58,873,4.29,4.33,2.64
0.9,"Very Good","H","SI2",61.2,57,3481,6.21,6.27,3.82
1.54,"Very Good","H","VS2",62.1,62,11527,7.31,7.38,4.56
1.5,"Good","I","VS2",57.8,60,8702,7.54,7.5,4.35
0.56,"Ideal","D","SI2",60,58,1568,5.42,5.38,3.24
0.38,"Ideal","E","VVS2",62.2,56,1100,4.58,4.65,2.87
1.23,"Premium","F","SI2",61.2,58,6038,6.91,6.84,4.21
1.21,"Good","G","VS1",63.7,57,6025,6.73,6.67,4.27
1.03,"Ideal","G","SI1",62.4,57,4764,6.52,6.47,4.05
0.9,"Premium","E","SI1",62.3,56,4502,6.21,6.14,3.85
0.74,"Premium","J","SI1",61.6,59,1931,5.82,5.77,3.57
0.38,"Ideal","F","VVS2",62,54.1,1010,4.66,4.68,2.9
0.9,"Very Good","I","VS2",63.1,57,3473,6.12,6.09,3.85
0.3,"Premium","E","VS2",62.1,58,844,4.31,4.29,2.67
2,"Good","G","SI2",64.3,60,10416,7.87,7.83,5.05
0.33,"Ideal","E","VS2",62.1,56,928,4.46,4.43,2.76
0.7,"Ideal","F","SI2",65,53,2394,5.61,5.56,3.63
0.25,"Very Good","E","VVS1",57.7,62,548,4.16,4.19,2.41
1.41,"Fair","H","I1",64.7,58,4145,7.05,7,4.55
2,"Fair","H","SI1",61.2,50,13764,8.17,8.08,4.97
0.98,"Very Good","H","SI2",62.2,60,4479,6.31,6.36,3.94
0.74,"Ideal","I","VS1",62.1,56,2440,5.75,5.82,3.59
0.42,"Ideal","D","VS2",62.6,56,948,4.76,4.8,2.99
0.53,"Ideal","G","SI1",61.3,56,1377,5.22,5.29,3.22
1,"Very Good","G","VS2",61.5,58,5860,6.36,6.39,3.92
0.7,"Premium","E","SI2",60.6,58,2442,5.78,5.73,3.49
0.77,"Ideal","J","SI1",62,57,2257,5.84,5.87,3.63
0.38,"Ideal","E","VVS2",61.8,54.2,1073,4.66,4.69,2.89
0.3,"Ideal","F","VS2",61.6,57,605,4.3,4.33,2.66
0.9,"Premium","D","VS2",62.6,59,5001,6.14,6.17,3.85
0.52,"Ideal","D","VS2",62.6,56,1822,5.11,5.14,3.21
0.5,"Premium","G","VVS2",60.9,59,1935,5.12,5.09,3.11
1.55,"Ideal","J","SI1",61.7,54,7987,7.42,7.55,4.62
0.42,"Ideal","D","VS1",61.4,55,1006,4.8,4.9,2.98
0.54,"Ideal","G","VVS2",61.5,54,2090,5.26,5.24,3.23
0.31,"Ideal","D","VVS2",60.9,57,777,4.38,4.42,2.68
1.02,"Ideal","G","SI1",62.8,57,5055,6.38,6.35,4
0.36,"Ideal","H","VVS2",61.3,55,705,4.62,4.64,2.84
0.78,"Ideal","E","SI2",61,56,3053,5.92,5.98,3.63
0.52,"Fair","F","IF",64.6,58,2144,5.04,5.17,3.3
0.67,"Ideal","G","SI1",62.9,54,1809,5.63,5.6,3.53
1.02,"Premium","F","SI1",58.4,59,4855,6.65,6.57,3.86
0.24,"Very Good","E","VS1",61.7,60,430,3.97,4,2.46
0.4,"Ideal","G","VVS1",61.3,56,977,4.74,4.75,2.91
1.19,"Fair","H","I1",65.1,59,2892,6.62,6.55,4.29
0.7,"Very Good","J","SI1",61.7,57,1979,5.65,5.69,3.5
1,"Premium","G","SI2",59,62,3998,6.52,6.47,3.83
1.29,"Ideal","H","SI1",61.8,55,7513,6.99,6.95,4.31
0.5,"Premium","G","VVS2",62.2,61,1806,5.09,5.07,3.16
0.31,"Ideal","F","VS2",62.4,56,625,4.31,4.34,2.7
0.42,"Premium","F","VS2",61.7,59,945,4.82,4.75,2.95
0.83,"Very Good","E","SI1",62.1,58,3002,6.01,6.04,3.74
1.22,"Ideal","E","VS1",62.4,54,10622,6.77,6.88,4.26
2.23,"Premium","J","SI2",60.5,61,12770,8.47,8.4,5.1
0.32,"Very Good","D","SI1",60,56,644,4.5,4.53,2.71
0.31,"Very Good","G","VS1",58.2,61,583,4.42,4.45,2.58
0.51,"Ideal","E","SI1",62,55,1343,5.12,5.14,3.18
0.32,"Ideal","E","VS2",62.9,56,900,4.39,4.36,2.75
0.52,"Premium","G","VS1",62.4,59,1689,5.13,5.16,3.21
0.35,"Ideal","E","VVS1",60.7,55,1030,4.56,4.6,2.78
1.5,"Premium","H","VS1",59.3,61,10584,7.53,7.47,4.45
0.3,"Premium","H","VS1",60.4,61,675,4.31,4.27,2.59
0.3,"Ideal","G","IF",61.8,55,863,4.32,4.36,2.68
0.4,"Premium","I","VVS1",60.8,58,842,4.76,4.78,2.9
0.39,"Ideal","F","IF",61,56,1377,4.72,4.75,2.89
1.17,"Ideal","J","SI1",62.3,55,4883,6.74,6.77,4.21
0.41,"Ideal","G","VS2",61.4,55,827,4.75,4.8,2.93
1.56,"Very Good","I","SI1",61.3,57,9494,7.48,7.54,4.6
0.4,"Ideal","D","VVS2",61.4,56,1078,4.75,4.8,2.93
0.72,"Ideal","H","VS1",61.9,56,2608,5.78,5.73,3.56
0.91,"Good","I","SI2",57.9,60,3061,6.46,6.39,3.72
0.79,"Premium","I","SI1",61.8,60,2317,5.96,5.92,3.67
0.7,"Good","G","VS2",62.6,61,2699,5.57,5.61,3.5
1.21,"Premium","I","SI1",61.6,56,5760,6.89,6.85,4.23
0.7,"Good","E","SI2",61,64,2116,5.63,5.69,3.45
2.01,"Very Good","D","SI2",61.8,59,17079,8.07,8.15,5.01
0.5,"Ideal","E","VVS2",62.2,54,2889,5.08,5.12,3.17
0.72,"Good","F","VVS2",61.3,65,3145,5.76,5.72,3.52
0.25,"Premium","F","VVS1",60.7,59,740,4.1,4.07,2.48
0.53,"Premium","J","VS2",62.7,56,1093,5.18,5.15,3.24
1.01,"Very Good","D","SI1",62.2,58,5122,6.36,6.4,3.97
0.3,"Good","I","SI1",63.8,57,506,4.27,4.19,2.7
2.22,"Premium","F","SI2",59.2,59,13553,8.54,8.46,5.03
0.24,"Very Good","E","VVS1",61.5,59,485,3.99,4.01,2.46
1.04,"Premium","E","SI2",62.4,57,4892,6.51,6.43,4.04
0.75,"Ideal","J","SI2",60.8,57,1944,5.91,5.87,3.58
1.86,"Very Good","J","VS2",62.5,55,10798,7.81,7.9,4.91
0.4,"Ideal","E","VVS2",62.1,55,1158,4.74,4.76,2.95
0.5,"Very Good","E","VS2",62.9,55,1559,5.07,5.11,3.2
1.14,"Very Good","H","SI1",63.1,58,5458,6.69,6.6,4.19
0.3,"Good","I","SI1",64.1,57,391,4.25,4.3,2.74
0.72,"Good","D","SI1",63.1,55,2757,5.69,5.75,3.61
0.3,"Ideal","D","SI1",62,56,709,4.34,4.3,2.68
0.91,"Fair","H","SI1",64.8,57,3180,6.12,6.07,3.95
0.91,"Premium","F","SI1",62.6,56,3618,6.18,6.13,3.85
0.58,"Very Good","H","SI1",62.1,55,1239,5.35,5.38,3.33
1.09,"Ideal","E","VS2",62.1,57,7813,6.62,6.56,4.09
0.34,"Ideal","G","VS2",61.9,55,765,4.53,4.49,2.79
1.22,"Ideal","H","SI1",61.8,57,6654,6.83,6.85,4.23
1.71,"Ideal","I","VVS2",61.9,57,13660,7.62,7.67,4.73
1.5,"Fair","E","SI1",56.2,58,11489,7.71,7.6,4.3
1.61,"Premium","G","SI1",62.6,58,11303,7.48,7.45,4.67
0.9,"Good","D","VS2",57.9,62,3604,6.33,6.24,3.64
0.41,"Ideal","F","SI2",62.6,57,603,4.68,4.77,2.96
1.21,"Ideal","I","I1",61.3,57,3686,6.94,6.89,4.24
0.33,"Ideal","I","VVS1",61.7,55.7,570,4.43,4.45,2.74
0.45,"Very Good","G","VVS2",61.4,61,1105,4.89,4.95,3.02
1.01,"Ideal","E","VS2",61.3,57,6968,6.49,6.46,3.97
0.58,"Ideal","E","VS1",60.8,57,2241,5.41,5.42,3.29
0.31,"Ideal","F","VS2",62.8,57,802,4.36,4.34,2.73
1.11,"Ideal","H","SI1",61.6,56,5854,6.69,6.73,4.07
0.73,"Very Good","E","VS1",61.5,57,3492,5.78,5.83,3.57
0.31,"Ideal","D","SI2",62,56,593,4.35,4.33,2.69
1.01,"Very Good","G","SI1",60.2,58,4719,6.5,6.59,3.94
2.05,"Very Good","G","SI1",63.4,58,12515,8.03,7.96,5.07
0.53,"Ideal","D","VS2",61.5,56,1857,5.17,5.23,3.2
1.03,"Ideal","I","SI1",62.2,58,4434,6.45,6.41,4
1.22,"Ideal","G","SI2",62.9,56,5436,6.86,6.78,4.29
0.31,"Ideal","D","VS2",62.1,54,942,4.37,4.33,2.7
0.9,"Very Good","D","SI2",62.2,57,3975,6.11,6.15,3.81
0.3,"Premium","D","SI1",62.3,58,552,4.28,4.32,2.68
1.21,"Good","E","SI1",63.6,58,6861,6.65,6.77,4.27
